reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
28_reg_array_body,,PA_17,pull_up,5:5,72,rw,'0,,
28_reg_array_body,,PA_17,pull_down,6:6,72,rw,'0,,
28_reg_array_body,,PA_17,hysteresis,7:7,72,rw,'0,,
28_reg_array_body,,PA_17,sel,10:8,72,rw,'0,,
28_reg_array_body,,PA_17,input_val,16:16,72,ro,'0,,
28_reg_array_body,,PA_18,output_en,0:0,76,rw,'0,,
28_reg_array_body,,PA_18,input_en,1:1,76,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_18,drive_strength,3:2,76,rw,'0,,
28_reg_array_body,,PA_18,slew_rate,4:4,76,rw,'0,,
28_reg_array_body,,PA_18,pull_up,5:5,76,rw,'0,,
28_reg_array_body,,PA_18,pull_down,6:6,76,rw,'0,,
28_reg_array_body,,PA_18,hysteresis,7:7,76,rw,'0,,
28_reg_array_body,,PA_18,sel,10:8,76,rw,'0,,
28_reg_array_body,,PA_18,input_val,16:16,76,ro,'0,,
28_reg_array_body,,PA_19,output_en,0:0,80,rw,'0,,
28_reg_array_body,,PA_19,input_en,1:1,80,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_19,drive_strength,3:2,80,rw,'0,,
28_reg_array_body,,PA_19,slew_rate,4:4,80,rw,'0,,
28_reg_array_body,,PA_19,pull_up,5:5,80,rw,'0,,
28_reg_array_body,,PA_19,pull_down,6:6,80,rw,'0,,
28_reg_array_body,,PA_19,hysteresis,7:7,80,rw,'0,,
28_reg_array_body,,PA_19,sel,10:8,80,rw,'0,,
28_reg_array_body,,PA_19,input_val,16:16,80,ro,'0,,
28_reg_array_body,,PA_20,output_en,0:0,84,rw,'0,,
28_reg_array_body,,PA_20,input_en,1:1,84,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_20,drive_strength,3:2,84,rw,'0,,
28_reg_array_body,,PA_20,slew_rate,4:4,84,rw,'0,,
28_reg_array_body,,PA_20,pull_up,5:5,84,rw,'0,,
28_reg_array_body,,PA_20,pull_down,6:6,84,rw,'0,,
28_reg_array_body,,PA_20,hysteresis,7:7,84,rw,'0,,
28_reg_array_body,,PA_20,sel,10:8,84,rw,'0,,
28_reg_array_body,,PA_20,input_val,16:16,84,ro,'0,,
28_reg_array_body,,PA_21,output_en,0:0,88,rw,'0,,
28_reg_array_body,,PA_21,input_en,1:1,88,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_21,drive_strength,3:2,88,rw,'0,,
28_reg_array_body,,PA_21,slew_rate,4:4,88,rw,'0,,
28_reg_array_body,,PA_21,pull_up,5:5,88,rw,'0,,
28_reg_array_body,,PA_21,pull_down,6:6,88,rw,'0,,
28_reg_array_body,,PA_21,hysteresis,7:7,88,rw,'0,,
28_reg_array_body,,PA_21,sel,10:8,88,rw,'0,,
28_reg_array_body,,PA_21,input_val,16:16,88,ro,'0,,
28_reg_array_body,,PA_22,output_en,0:0,92,rw,'0,,
